PC1 = [-0.73846793 -0.6742886 ]
PC2 = [ 0.6742886  -0.73846793]

Projected Data:-
             0         1
0    -5.754080  0.373123
1    -7.246760 -1.166836
2    -9.207305 -0.050207
3    -7.167963 -0.829776
4    -8.600864 -0.510608
5    -7.678995 -0.546792
6   -10.255642 -0.874483
7    -7.136945 -0.084997
8    -7.687898 -0.931458
9    -6.609680 -0.278996
10   -6.623977 -0.359329
11   -6.683945 -0.179028
12   -7.438741 -0.165979
13   -9.359265 -0.360232
14   -7.831488 -0.186182
15   -8.438958 -0.231762
16   -8.125146  0.152500
17   -5.953108 -0.024128
18   -7.010093 -0.968797
19   -5.874749 -0.488424
20   -7.507533 -0.835964
21   -6.965537  0.404796
22   -6.226899  0.216180
23   -6.720176  0.075861
24   -7.133576 -1.022700
25   -7.522312 -0.355228
26   -7.580150 -1.033105
27   -6.971094 -0.879960
28   -8.597066 -0.272811
29   -4.421594 -0.749505
30   -7.545083 -0.828118
31   -7.180254 -1.040300
32   -7.264040  0.052960
33   -6.630462 -0.118304
34   -8.035566 -0.403168
35   -5.330747 -0.752141
36   -4.306945 -0.682210
37   -6.476723 -0.365157
38   -7.015641 -0.414812
39   -6.671377  0.121417
40   -8.158855 -0.221309
41   -6.000250  0.596875
42   -6.603341 -0.672192
43   -7.803433 -0.496724
44   -8.206927  0.030958
45   -7.605299 -0.836048
46   -8.178060 -0.092037
47   -7.189897 -0.505158
48   -6.197786 -0.462435
49   -7.745465 -0.226729
50   -5.654212 -0.659048
51   -5.384599 -0.401549
52   -6.720929 -0.458011
53   -7.676993 -0.208615
54   -8.108384 -0.300481
55   -7.076951 -0.615592
56   -6.063560  0.217436
57   -6.318062 -0.247582
58   -5.595506 -0.252030
59   -7.019969 -0.313355
60   -7.100271 -0.045087
61   -7.725731 -0.253430
62   -7.665571 -0.269870
63   -5.276647 -0.488910
64   -4.804605  0.437763
65   -9.897052 -0.227380
66   -4.952753  0.068293
67   -5.598419 -0.208600
68   -5.618415  0.283153
69   -7.223859 -0.271929
70   -6.442291 -0.796421
71   -6.281751 -0.290879
72   -7.850492 -0.314218
73   -6.817134  0.385831
74   -6.536844 -0.309827
75   -6.240907 -0.511938
76   -7.382302 -1.019846
77   -8.767692 -0.410351
78   -7.743711  0.249568
79   -9.461679 -0.845638
80   -5.882502  0.196843
81   -7.683800 -0.304790
82   -8.508964 -0.445975
83   -5.028704  0.370824
84   -6.207783 -0.716560
85   -7.443781 -0.147244
86   -9.000676 -0.729047
87   -5.893459 -0.128783
88   -6.456622  0.166565
89   -6.580534 -0.341665
90   -8.202950 -0.806761
91   -7.664426 -0.038981
92   -6.200932 -1.357608
93   -5.439138 -0.293046
94   -6.518540  0.100403
95   -7.903223 -0.150529
96   -5.923051  0.319286
97   -5.379453  0.001239
98   -6.364291 -0.020557
99   -8.652375 -0.799187
100  -8.041897 -0.639202
101  -7.575980 -0.305233
102  -8.955789 -0.218727
103  -8.288376 -0.053937
104  -8.041635 -0.005311
105  -6.176649 -0.199968
106  -6.419374 -0.481713
107  -5.944414 -0.329015
108  -3.991354 -0.433865
109  -7.170947  0.033267
110  -7.490349 -0.790281
111  -6.545321 -0.534160
112  -6.008136 -0.535218
113  -7.069488 -0.081940
114  -6.711665 -0.767974
115  -7.342161 -0.451695
116  -8.768410 -0.330705
117  -7.958967  0.155605
118  -6.719086 -0.207856
119  -8.572538 -0.032529
120  -7.518196 -0.440801
121  -6.209796  0.571574
122  -5.382912 -0.020911
123  -7.574696 -0.613142
124  -4.446304 -0.329994
125  -5.391371 -0.083333
126  -6.442643 -0.517287
127  -6.525627 -0.514369
128  -6.721488 -0.388352
129  -6.269065 -0.115330
130  -7.114488 -0.245185
131  -7.719952 -0.433577
132  -7.770500 -0.693181
133  -6.242454  0.047489
134  -9.089067 -0.223823
135  -6.354718 -0.508160
136  -6.038879 -0.166432
137  -6.694543 -0.581759
138  -6.943317 -0.274163
139  -8.990106  0.274289
140  -8.079914 -0.240960
141  -5.759774 -0.029716
142  -6.379908  0.092026
143  -4.613491 -0.177289
144  -5.605956 -0.737469
145  -5.940541  0.239116
146  -6.923478 -0.214715
147  -8.631534 -0.464374
148  -6.422498 -0.016990
149  -8.122793 -0.049297
150  -7.418046 -0.026823
151  -8.125634 -0.988562
152  -8.518471 -0.106366
153  -9.129780 -0.643473
154  -7.547964 -0.668147
155  -7.345125 -0.182794
156  -9.812683 -0.530588
157  -7.700907  0.232120
158  -6.999666 -0.427478
159  -5.357571 -0.091807
160  -6.519786 -0.920821
161  -6.307086  0.006742
162  -7.313832  0.425252
163  -6.552636  0.091203
164  -4.234984  0.097611
165  -7.899789 -0.432000
166  -6.203440 -0.838362
167  -7.282513  0.211748
168  -6.818218  0.299947
169  -6.336318 -0.319577
170  -7.334473 -0.849554
171  -8.147611  0.173640
172  -6.929990 -0.068832
173  -4.901721 -0.402873
174  -7.591894 -0.595845
175  -7.473924 -0.789338
176  -6.931654 -0.730719
177  -6.319555 -1.030845
178  -8.227702 -0.809264
179  -6.753431 -0.741239
180  -5.755237 -0.513496
181  -9.893186 -1.310522
182  -7.814973 -0.495609
183  -5.446540  0.316709
184  -7.502197  0.008503
185  -5.315451  0.537701
186  -7.739206 -0.080317
187  -6.356948  0.156959
188  -6.069085 -0.373168
189  -8.173918 -0.125009
190  -7.460053 -0.625217
191  -6.023581  0.522318
192  -7.998446 -0.450657
193  -5.895410 -0.799381
194  -6.065694 -0.371283
195  -8.572175 -0.053387
196  -5.522326 -0.230750
197  -6.976533 -0.287454
198  -5.937731 -0.169609
199  -8.377614 -0.107072
200  -6.545129 -1.225081
201  -5.031865 -0.423450
202  -6.869393 -0.593150
203  -3.608206  0.206093
204  -8.330369 -0.496916
205  -6.361828  0.693493
206  -9.913854  0.300620
207  -7.927532 -0.124813
208  -6.593676 -0.499218
209  -6.104655 -0.530388
210  -6.923428 -0.471601
211  -8.037309 -0.588341
212  -6.296997 -0.200492
213  -8.087682  0.044007
214  -6.543403 -0.279999
215  -5.347016 -1.053515
216  -4.799262 -0.333131
217  -3.875789 -0.511857
218  -6.583208  0.039797
219  -4.389249 -0.069243
220  -8.071244  0.116202
221  -7.348669 -0.288736
222  -7.850422 -0.128145
223  -4.388710 -0.178310
224  -6.792125 -0.320399
225  -5.402582 -0.949626
226  -6.937245  0.356566
227  -6.689401 -0.876361
228  -6.231360 -0.674481
229  -6.559799 -0.469219
230 -10.245526 -0.837703
231  -5.949645 -0.482012
232  -7.621627 -0.705240
233  -7.124781  0.115705
234  -6.430126 -0.387315
235  -6.280719  0.161238
236  -7.985995 -1.151606
237  -7.416193  0.009805
238  -5.476066 -0.511668
239  -6.461067 -0.660434
240  -6.632296 -0.920771
241  -5.321586 -0.047174
242  -8.805777 -0.454408
243  -7.546309 -0.004320
244  -6.729333 -0.672733
245  -4.010562  0.412179
246  -4.969225 -0.448792
247  -8.400068  0.521839
248  -4.747497 -0.214724
249  -7.687477 -0.166599
250  -6.127356 -0.340747
251  -6.997485  0.127307
252  -6.610691  0.594909
253  -5.931373  0.192043
254  -4.784522  0.498010
255  -6.928328 -0.866754
256  -5.938270  0.287382
257  -9.553215 -0.487854
258  -6.414293  0.083630
259  -5.903350  0.612495
260  -6.317438 -0.714816
261  -4.600063  0.246713
262  -7.683293 -0.145056
263  -8.541197 -1.358083
264  -6.863474  0.336683
265  -3.809057 -0.139926
266  -5.158126  0.165589
267  -4.633893 -0.014682
268  -7.088509 -0.788643
269  -7.176522 -0.715785
270  -6.917812 -0.654073
271  -7.678249 -0.084178
272  -5.860955 -0.522126
273  -5.929653 -0.999311
274  -4.911783 -0.185261
275  -9.223388 -0.316165
276  -3.905857  0.084833
277  -7.962441 -0.432916
278  -3.768335 -0.226659
279  -7.770749 -0.354298
280  -6.200011 -0.070198
281  -6.964069 -0.158645
282  -7.130657 -0.247610
283  -5.706519  0.653177
284  -8.936733 -0.345881
285  -7.214902 -0.258005
286  -7.721647 -0.305409
287  -8.295986 -0.562330
288  -7.288059 -0.874247
289  -8.157596  0.189750
290  -8.578877 -1.164041
